Account No,Country,City Name,C40,Reporting Year,Sector,Target boundary,Baseline year,Baseline emissions (metric tonnes CO2e),Percentage reduction target,Target date,Comment,City Location,Country Location
31052,United Kingdom,Cardiff,False,2016,Total,,2005,2667000.0,26.0,2020.0,"This 26% reduction target is for per capita emissions (NB Cardiff is the UKs fastest growing city).  The per capita carbon emissions were 8.3 tonnes in 2005 and are 6.1 in 2013, demonstrating a 27% reduction in per capita emissions.  (The reduction in absolute emissions from 2005 to 2013 is 20%)","(51.481581, -3.17909)","(55.378051, -3.435973)"
8242,Finland,Helsinki,False,2016,Total,"Energy consumption in the area, transport emissions, waste management, agriculture, industry",1990,3615000.0,30.0,2020.0,City Council Strategy 2013-2016,"(60.1733244, 24.9410248)","(61.92411, 25.748151)"
8242,Finland,Helsinki,False,2016,Total,"per capita emissions based on energy consumption, transport and waste management",1990,3615000.0,39.0,2030.0,Climate strategy for the metropolitan area. Target achieved in 2014.,"(60.1733244, 24.9410248)","(61.92411, 25.748151)"
8242,Finland,Helsinki,False,2016,Total,"Energy consumption in the area, transport emissions, waste water management",1990,3615000.0,20.0,2020.0,"City's energy policy lines, Covenant of Mayors. Target achieved in 2013.","(60.1733244, 24.9410248)","(61.92411, 25.748151)"
54402,Finland,Lahti,False,2016,Buildings,"Energy production (electricity and heating)
Energy effiency
Waste treatment
Traffic
Residents's attitudes",1990,747000.0,35.0,2020.0,In the City strategy: -50% by 2015 (from 1990 level),"(60.9833, 25.65)","(61.92411, 25.748151)"
54529,United Kingdom,Leicester,False,2016,Other,Within the scope of the local authority,1990,2388300.0,50.0,2025.0,"Transport, domestic electricity and gas use, and industrial electricity and gas use","(52.6333, -1.1333)","(55.378051, -3.435973)"
36159,Portugal,Lisbon,False,2016,Other,,2002,3887013.0,20.0,2020.0,,"(38.7222524, -9.1393366)","(39.399872, -8.224454)"
46514,Portugal,Porto,False,2016,Total,Community emissions,2004,1300000.0,45.0,2020.0,Sustainable Energy Action Plan reduction target. Reductions from action at a local level (demand management) and national level (supply management).,"(41.1579438, -8.6291053)","(39.399872, -8.224454)"
54459,Iceland,Reykjavík,False,2016,Total,"Transportation, land use and waste",2007,339990.0,35.0,2020.0,,"(64.12652, -21.81744)","(64.963051, -19.020835)"
54459,Iceland,Reykjavík,False,2016,Total,"Transportation, land use and waste",2007,339990.0,73.0,2050.0,,"(64.12652, -21.81744)","(64.963051, -19.020835)"
50154,Finland,Turku,False,2016,Total,"all, but only scopes 1 and 2 are actually measured",2013,1107500.0,100.0,2040.0,"In 2014 ambitious target was set by the city council, which aims to make Turku carbon-neutral by 2040.","(60.4518126, 22.2666303)","(61.92411, 25.748151)"
54497,Poland,City of Wroclaw,False,2016,Total,,1990,6988259.0,21.0,2020.0,,"(51.107885, 17.038538)","(51.919438, 19.145136)"
46473,Spain,Zaragoza,False,2016,Other,Sectores industrial y primario,2010,1237553.0,20.0,2020.0,,"(41.608629, -0.887012)","(40.463667, -3.74922)"
36274,Italy,Bologna,False,2016,Other,City Energy consumption,2005,2288510.0,21.0,2020.0,4%  reduction obetained at  the end of 2010,"(44.4856087, 11.3547975)","(41.87194, 12.56738)"
36261,Italy,Bolzano,False,2016,Total,,2010,520715.0,23.0,2020.0,,"(46.499681, 11.356576)","(41.87194, 12.56738)"
36286,Italy,Ferrara,False,2016,Total,"buildings, equipment, facilities and industries; transport; waste management, waste water management, othe emissions (agricolture and other sources)",2007,1582605.13,25.5,2020.0,,"(44.8357395, 11.6189949)","(41.87194, 12.56738)"
36262,Italy,Genova,False,2016,Other,SEAP,2005,2215759.0,23.0,2020.0,,"(44.347961, 9.318415)","(41.87194, 12.56738)"
36494,Italy,Padova,False,2016,Total,Total inventory (sectors and specific projects see below),2005,1892158.0,20.0,2020.0,"In addition to the emission-reducing activities mentioned below, the emission-reducing activities on local government level are part of the total reduction aim of 20%.","(45.406958, 11.876386)","(41.87194, 12.56738)"
54092,USA,Ann Arbor,False,2016,,,2000,,80.0,2050.0,,"(42.2808, -83.743)","(37.09024, -95.712891)"
36495,Italy,Piacenza,False,2016,,,1990,263270.0,20.4,2020.0,"The emission reduction is calculated with respect to the reference scenario (BAU) in 2020.
Were considered only CO2 emissions related to the areas of competence of the Municipality of Piacenza.","(45.0519969, 9.6926451)","(41.87194, 12.56738)"
36263,Italy,Ravenna,False,2016,Total,Entire emissions inventory,2007,1683317.65,23.9,2020.0,This target is related to CO2 emission and was set in the Covenant of Mayors. The target is applied to the whole CO2 emissions including together Local Government Operations and Community.,"(41.913028, 12.518037)","(41.87194, 12.56738)"
36518,Italy,Udine,False,2016,Total,"electricity production, agriculture, transports, industry,  commercial and residential",2006,692479.0,20.0,2020.0,,"(46.0667, 13.2333)","(41.87194, 12.56738)"
31313,Ireland,Dublin,False,2016,Total,all,2006,5054000.0,20.0,2020.0,,"(53.344479, -6.270843)","(53.41291, -8.24389)"
35868,Germany,Hamburg,False,2016,Total,CO2,1990,20727000.0,80.0,2050.0,,"(53.5510846, 9.9936818)","(51.165691, 10.451526)"
35868,Germany,Hamburg,False,2016,Total,CO2,1990,20727000.0,50.0,2030.0,,"(53.5510846, 9.9936818)","(51.165691, 10.451526)"
3429,Sweden,Stockholm,False,2016,Other,"CO2, CH4, N20 and Energy for heating and cooling, electricity use and Energy for transport",1990,3668000.0,100.0,2040.0,Roadmap to a Fossil free-fuel Stockholm 2050 (being updated to 2040) according to Stockhom City's budget.,"(59.3293235, 18.0685808)","(60.128161, 18.643501)"
50681,Portugal,Funchal,False,2016,Total,"The Municipality will intervene in several fields such as buildings, electricity, primary, secundary and tertiary sector, transportation, land planning, among other.",2010,515593.0,20.0,2020.0,"The Municipality is a member of the Covenant of Mayors, an european compromise to reduce the CO2 levels in 20%.","(32.666933, -16.924055)","(39.399872, -8.224454)"
58424,Poland,Gdańsk,False,2016,Total,"The energy sector (actions independent of the local government); The construction sector (including households, public buildings, etc.); Transportation, environmental education, other activities.",2013,3551302.0,21.0,2020.0,,"(54.352025, 18.646638)","(51.919438, 19.145136)"
59165,Denmark,Gladsaxe Kommune,False,2016,Total,Total municipal inventory,2007,499740.0,20.0,2020.0,,"(55.733461, 12.488686)","(56.26392, 9.501785)"
31055,United Kingdom,Glasgow,False,2016,,,2006,39873000.0,30.0,2020.0,,"(55.859272, -4.212783)","(55.378051, -3.435973)"
35898,United Kingdom,Manchester,False,2016,Total,"Direct emissions from road transport and rail, and domestic and industrial emissions from electricity (end user) gas, oil and solid fuels, as well as emissions from land use, land use change, and forestry",1990,21200000.0,48.0,2020.0,"See Climate Change and Low Emission Strategies’
Whole Place Implementation Plan for Greater Manchester
(2016-2020) (attached for detailed actions.","(53.4575955, -2.1578377)","(55.378051, -3.435973)"
58489,Denmark,Hoeje-Taastrup Kommune,False,2016,Total,,2012,310000.0,98.0,2050.0,"until 2020 3 % reduction per year
2035 Fossil free electricity and heating supply
2050 Fossil free electricity and heating supply and the transport sector
2050 98 % reduction (baseline 2012)","(55.656328, 12.2898)","(56.26392, 9.501785)"
58797,Denmark,Hørsholm Kommune,False,2016,Total,,2010,182657.0,20.0,2020.0,,"(55.883514, 12.504924)","(56.26392, 9.501785)"
54443,Germany,Landeshauptstadt Magdeburg,False,2016,Total,,1990,3955000.0,95.0,2050.0,"GHG sources to
which the target applies:
CO2-City-wide

Solutions of the municipal council","(52.08889, 11.586164)","(51.165691, 10.451526)"
54443,Germany,Landeshauptstadt Magdeburg,False,2016,Total,,2012,1406000.0,86.0,2050.0,"GHG sources to
which the target applies:
CO2-City-wide

Solutions of the municipal council","(52.08889, 11.586164)","(51.165691, 10.451526)"
55442,Portugal,Moita,False,2016,Total,Entire local government inventory,2008,15177.0,20.0,2020.0,,"(41.30284, -8.65731)","(39.399872, -8.224454)"
58488,Denmark,Sonderborg Kommune,False,2016,Total,,2007,180500.0,25.0,2015.0,,"(54.913811, 9.792178)","(56.26392, 9.501785)"
58488,Denmark,Sonderborg Kommune,False,2016,Total,,2007,361000.0,50.0,2020.0,,"(54.913811, 9.792178)","(56.26392, 9.501785)"
58488,Denmark,Sonderborg Kommune,False,2016,,,2007,722000.0,100.0,2029.0,,"(54.913811, 9.792178)","(56.26392, 9.501785)"
54092,USA,Ann Arbor,False,2016,,,2000,,25.0,2025.0,,"(42.2808, -83.743)","(37.09024, -95.712891)"
35449,Switzerland,Stadt Zürich,False,2016,Other,Baseline emissions: 5.5 tonnes CO2e per person per year (in the year 2005); according to 2000-Watt-methodology,2005,,28.0,2020.0,"The baseline emission and the target emission are measured in tonnes CO2e per person per year.

Target for 2050: 1.0 tonnes CO2e per person (18% of 2005)
Target for 2035: 2.5 tonnes CO2e per person (45% of 2005)
Target for 2020: 4.0 tonnes CO2e per person (72% of 2005)","(47.3686498, 8.5391825)","(46.818188, 8.227512)"
35449,Switzerland,Stadt Zürich,False,2016,,,2005,,55.0,2035.0,,"(47.3686498, 8.5391825)","(46.818188, 8.227512)"
35449,Switzerland,Stadt Zürich,False,2016,,,2005,,82.0,2050.0,,"(47.3686498, 8.5391825)","(46.818188, 8.227512)"
14088,Norway,Oslo,False,2016,Total,"CO2, CH4, N2O,",1991,1200000.0,95.0,2030.0,"With a new City government in office from september 2015, the GHG-target was expedited from 2050 to 2030.","(59.9138688, 10.7522454)","(60.472024, 8.468946)"
58537,Poland,Tarnów,False,2016,Total,"Reduction of GHG, mainly CO2 by lowering energy use and more efficient use of renewable energy sources. It applies to investment processes and other, in sectors such as: exploitation of private and public buildings, city lights and public transport functions, municipal economy and industry, local power engineering, both conventional and based on renewable energy sources.",2013,20232.0,8.46,2020.0,Data based on plan mentioned in 7.1. a - row 3,"(50.012101, 20.985841)","(51.919438, 19.145136)"
50211,Georgia,Tbilisi,False,2016,,transport; buildings; outdoor lighting; landfills; Waste water; gas & electricity distribution.,2010,,24.0,2020.0,,"(41.715138, 44.827096)","(40.786168, -81.288192)"
43930,Netherlands,The Hague,False,2016,"Other: Domestic buildings, industry and other businesses (including non-domestic buildings), traffic and waste treatment.",,1990,2499.0,30.0,2020.0,,"(52.070498, 4.3007)","(52.132633, 5.291266)"
43930,Netherlands,The Hague,False,2016,"Other: Domestic buildings, industry and other businesses (including non-domestic buildings), traffic and waste treatment.",,1990,2499.0,100.0,2040.0,,"(52.070498, 4.3007)","(52.132633, 5.291266)"
35879,USA,Minneapolis,False,2016,Total,"scope 1, scope 2 and some scope 3",2006,5700000.0,15.0,2015.0,,"(44.983334, -93.26667)","(37.09024, -95.712891)"
19233,Portugal,Torres Vedras ,False,2016,Total,"Transports, buildings, local energy production",2009,268064.0,29.0,2020.0,"Torres Vedras SEAP is an integrated plan to reduce emissions of the community and local government operations, the amount provided for emission reduction is a global value. In the plan are set 61 actions for the community and the local government operations.","(38.763669, -9.30148)","(39.399872, -8.224454)"
35755,Turkey,Kadiovacik,False,2016,Total,,2014,467.45,4.0,2016.0,,"(38.3434574, 26.553613)","(38.963745, 35.243322)"
54520,Switzerland,Lausanne,False,2016,Other: Energy and mobility,CO2,2005,585531.0,20.0,2020.0,already reached,"(46.5198, 6.6335)","(46.818188, 8.227512)"
50792,Monaco,Monaco,False,2016,,Scope 1,1990,107940.0,30.0,2020.0,Kyoto Protocol - Second period,"(43.737411, 7.420816)","(43.738418, 7.424616)"
50792,Monaco,Monaco,False,2016,,Scope 1,1990,107940.0,22.0,2020.0,Kyoto Protocol - QUELRO 2012-2020,"(43.737411, 7.420816)","(43.738418, 7.424616)"
60114,Poland,Gdynia,False,2016,Total,,,,20.0,2020.0,"Gdynia has the Low Emission Economy Plan 2015-2020. Up to 2020 Gdynia declared to reduce the emission of CO2 by 20%, to reduce the consumption of  the final energy by 28% and to increase power installed renewable energy sources by 14 MW.","(54.51889, 18.530541)","(51.919438, 19.145136)"
31171,Spain,Madrid,False,2016,Total,Total,2005,11527000.0,35.0,2020.0,,"(40.1076253, -3.3875673)","(40.463667, -3.74922)"
31171,Spain,Madrid,False,2016,Total,Total,1990,12653000.0,20.0,2020.0,,"(40.1076253, -3.3875673)","(40.463667, -3.74922)"
31171,Spain,Madrid,False,2016,Transport,Road transport,2011,2367000.0,20.0,2020.0,,"(40.1076253, -3.3875673)","(40.463667, -3.74922)"
31151,Switzerland,Basel-Stadt,False,2016,Total,20% Reduction till 2020 opposite to 1990,1990,1108030.0,20.0,2020.0,Swiss federal law CO2,"(47.5619, 7.5928)","(46.818188, 8.227512)"
31151,Switzerland,Basel-Stadt,False,2016,Total,100% climate neutral administration in Basel-City. CO2.,2008,,100.0,2030.0,http://www.2000-watt.bs.ch/en/pilotregion_basel- 2/schwerpunkt-bauen/klimaneutrale-verwaltung.htm,"(47.5619, 7.5928)","(46.818188, 8.227512)"
31148,Netherlands,Amsterdam,False,2016,Total,within city boudaries,1990,3417000.0,40.0,2025.0,,"(52.370216, 4.895168)","(52.132633, 5.291266)"
31148,Netherlands,Amsterdam,False,2016,Total,within city boundaries,1990,3417000.0,75.0,2040.0,,"(52.370216, 4.895168)","(52.132633, 5.291266)"
35858,South Africa,Cape Town,False,2016,Total,"The City has an Energy2040 Vision where it  aims to improve efficiency in electricity and transport, as well as cleaner electricity supply.",2012,20550172.0,13.0,2020.0,"The targets are set s in the City’s Energy and Climate Action Plan (ECAP) and is currently being reviewed and updated as part of the City’s Energy 2040 vision and ECAP update process, to be finalised by end 2015. Updated targets will be provided in the 2016 CDP submission. Current electricity consumption levels city-wide are below 2007 levels.","(-33.9253, 18.4239)","(-30.559482, 22.937506)"
31009,Denmark,Copenhagen,False,2016,Total,All sources,2005,2541000.0,20.0,2015.0,,"(55.6760968, 12.5683371)","(56.26392, 9.501785)"
31009,Denmark,Copenhagen,False,2016,Total,All sources,2010,2240000.0,100.0,2025.0,,"(55.6760968, 12.5683371)","(56.26392, 9.501785)"
10894,USA,Los Angeles,False,2016,Total,City of Los Angeles,1990,36200000.0,45.0,2025.0,,"(34.0522342, -118.2436849)","(37.09024, -95.712891)"
35863,South Africa,Durban,False,2016,Total,CO2,2006,21413906.0,24.5,2020.0,"The target of 24.5% is articulated in the municipal energy strategy (2008). However, a climate change adaptation and mitigation strategy for the city is currently being developed which will revise these targets to align with the national climate change policy.","(-29.8586804, 31.0218404)","(-30.559482, 22.937506)"
31115,South Africa,Johannesburg,False,2016,Total,,2007,27000000.0,40.0,2040.0,,"(-26.2041028, 28.0473051)","(-30.559482, 22.937506)"
14088,Norway,Oslo,False,2016,Total,"CO2, CH4, N2O,",1991,1200000.0,50.0,2020.0,"With a new City government in office from september 2015, the GHG-target was expedited from 2030 to 2020.","(59.9138688, 10.7522454)","(60.472024, 8.468946)"
31175,France,Paris,False,2016,Total,all sources all scopes,2004,25000000.0,25.0,2020.0,To respect the European objectives by 2020 and to decrease overall emissions by 75% in 2050 compared with 2004,"(48.856614, 2.3522219)","(46.227638, 2.213749)"
31175,France,Paris,False,2016,Total,all sources all scopes,2004,25000000.0,75.0,2050.0,,"(48.856614, 2.3522219)","(46.227638, 2.213749)"
31175,France,Paris,False,2016,Total,"GPC standard, BASIC format",2004,6200000.0,40.0,2030.0,Signed agreement on Act2 of Covenant of Mayors,"(48.856614, 2.3522219)","(46.227638, 2.213749)"
3429,Sweden,Stockholm,False,2016,Other,"CO2, CH4, N20 and Energy for heating and cooling, electricity use and Energy for transport",1990,3668000.0,24.0,2020.0,"Stockholm has a goal that by 2020 our GHG per capita should be down to 2,3 ton 2020 per person.","(59.3293235, 18.0685808)","(60.128161, 18.643501)"
35879,USA,Minneapolis,False,2016,Total,"scope 1, scope 2 and some scope 3",2006,5700000.0,30.0,2020.0,2025 target date,"(44.983334, -93.26667)","(37.09024, -95.712891)"
31185,Poland,Warsaw,False,2016,Total,all sources of CO2 emissions,2007,12952984.0,20.0,2020.0,"The sectors included in the emissions reduction target include buildings, transport and other sectors but not waste.","(52.2296756, 21.0122287)","(51.919438, 19.145136)"
31173,Italy,Milano,False,2016,Total,"emissions (scope 1 and 2) due to
Building heating (residential, terziary, industry, public and private)
domestic uses
other uses (tertiary, industry)
public lighting
mobility (public and private)",2005,7418.0,20.0,2020.0,,"(45.802578, 9.086356)","(41.87194, 12.56738)"
36254,Italy,Venezia,False,2016,Buildings,"Tertiary (non municipal) buildings, equipment/facilities",2005,512859.0,29.1,2020.0,"SEAP action ""free-01 - extimated CO2 reduction by 2020:    1072t""
SEAP action ""free-02 - extimated CO2 reduction by 2020:      292t""
SEAP action ""free-06 - extimated CO2 reduction by 2020:      997t""
SEAP action ""free-07 - extimated CO2 reduction by 2020: 22946t""
SEAP action ""free-08 - extimated CO2 reduction by 2020:    4347t""
SEAP action ""free-09 - extimated CO2 reduction by 2020:         97t""
SEAP action ""free-10 - extimated CO2 reduction by 2020:       772t""
SEAP action ""free-11 - extimated CO2 reduction by 2020:       132t""
SEAP action ""free-12 -extimated CO2 reduction by 2020:        166t""
SEAP action ""free-13 - extimated CO2 reduction by 2020:       477t""
SEAP action ""free-14 [1/2]- extimated CO2 reduction by 2020:  13702t""
SEAP action ""free-15 - extimated CO2 reduction by 2020:     3941t""
SEAP action ""free-16 - extimated CO2 reduction by 2020:   19020t""
SEAP action ""free-17 - extimated CO2 reduction by 2020:        168t""
SEAP action ""pure-03 - extimated CO2 reduction by 2020:  38238t""
total extimated CO2 reduction by 2020: 106367t""","(45.4332515, 12.3210704)","(41.87194, 12.56738)"
36254,Italy,Venezia,False,2016,Buildings,Residential buildings,2005,524145.0,13.1,2020.0,"SEAP action ""free-14 [1/2] - extimated CO2 reduction by 2020: 13704t""
SEAP action ""pure-02 - extimated CO2 reduction by 2020:        55314t""
total extimated CO2 reduction by 2020: 69018t""","(45.4332515, 12.3210704)","(41.87194, 12.56738)"
36254,Italy,Venezia,False,2016,Transport,Private and Commercial Transport,2005,381340.0,39.2,2020.0,"SEAP action ""move-01 - extimated CO2 reduction by 2020: 17022t""
SEAP action ""move-02 - extimated CO2 reduction by 2020:   7081t""
SEAP action ""move-03 - extimated CO2 reduction by 2020:   3559t""
SEAP action ""move-04 - extimated CO2 reduction by 2020:        62t""
SEAP action ""move-05 - extimated CO2 reduction by 2020:   3418t""
SEAP action ""move-06 - extimated CO2 reduction by 2020: 18844t""
SEAP action ""move-07 - extimated CO2 reduction by 2020:   2431t""
SEAP action ""move-08 - extimated CO2 reduction by 2020: 96412t""
SEAP action ""move-09 - extimated CO2 reduction by 2020:     600t""
SEAP action ""move-10 - extimated CO2 reduction by 2020:       37t""
SEAP action ""move-14 - extimated CO2 reduction by 2020:       68t""
total extimated CO2 reduction by 2020: 149534t""","(45.4332515, 12.3210704)","(41.87194, 12.56738)"
36254,Italy,Venezia,False,2016,Total,Total inventory,2005,1418344.0,22.9,2020.0,The expected reduction for Tertiary+Residential+Private and Commercial transport is: 324.919t,"(45.4332515, 12.3210704)","(41.87194, 12.56738)"
3422,United Kingdom,London ,False,2016,Other,CO2,1990,45000000.0,80.0,2050.0,Interim targets are also in place for 2025,"(51.504858, -0.078689)","(55.378051, -3.435973)"
31110,Italy,Roma ,False,2016,Transport,Transport,2003,4174937.0,23.0,2020.0,,"(41.8723889, 12.4801802)","(41.87194, 12.56738)"
31110,Italy,Roma ,False,2016,Buildings,Residential,2003,3593877.0,15.0,2020.0,,"(41.8723889, 12.4801802)","(41.87194, 12.56738)"
35393,USA,St Louis,False,2016,Total,,2005,7972916.0,80.0,2050.0,,"(38.6270025, -90.1994042)","(37.09024, -95.712891)"
31110,Italy,Roma ,False,2016,Other:,Tertiary,2003,3230703.0,0.0,2020.0,Emission for tertiary are forecasted increasing of 18%,"(41.8723889, 12.4801802)","(41.87194, 12.56738)"
54102,USA,Albany,False,2016,Buildings,"Residential, Commercial, Industrial",2009,903226.0,10.0,2030.0,,"(42.6526, -73.7562)","(37.09024, -95.712891)"
54102,USA,Albany,False,2016,Transport,,2009,276097.0,20.0,2030.0,,"(42.6526, -73.7562)","(37.09024, -95.712891)"
54102,USA,Albany,False,2016,Waste,,2009,13797.0,10.0,2030.0,,"(42.6526, -73.7562)","(37.09024, -95.712891)"
55799,USA,"Arlington, VA",False,2016,Total,Community,2007,2668991.0,76.0,2050.0,"Arlington's community GHG emissions reduction target is to reach 3.0 metric tonnes CO2e per capita by 2050, from a 2007 baseline of 13.4 mt/capita.","(37.226486, -76.002594)","(37.09024, -95.712891)"
52897,USA,Aspen and Pitkin County,False,2016,Other,"Scope 1
Scope 2
Scope 3",2004,762829.0,30.0,2020.0,,"(39.195, -106.837)","(37.09024, -95.712891)"
52897,USA,Aspen and Pitkin County,False,2016,Other,"Scope 1
Scope 2
Scope 3",2004,762829.0,80.0,2050.0,,"(39.195, -106.837)","(37.09024, -95.712891)"
1093,USA,Atlanta,False,2016,Buildings,city-wide control,2009,5356727.0,20.0,2020.0,"Benchmarking and retrofits for buildings larger than 25,000 soft","(33.7489954, -84.3879824)","(37.09024, -95.712891)"
1093,USA,Atlanta,False,2016,Transport,city-wide control,2009,2300000.0,20.0,2020.0,"Sharing mobility strategies, TOD, and parking strategies","(33.7489954, -84.3879824)","(37.09024, -95.712891)"
55467,USA,"Aurora, CO",False,2016,Total,"Residential/Commercial/Industrial/Public building energy use, transportation, fuel production and shipping, water/wastewater, food, cement, agricultural, and municipal solid waste.",2007,4641240.0,10.0,2025.0,Buckley Air Force Base not included. Methodology developed by University of Colorado Denver,"(39.7294, -104.8319)","(37.09024, -95.712891)"
35853,USA,Baltimore,False,2016,Other,"Key findings by sector provide guidance for where strategies can perhaps slow future emissions growth.
• GHG emissions from the energy sector are anticipated
to increase slightly from 79.5 percent (2010) to 79.9
percent (2020).
• The transportation-related emissions are anticipated
to decrease from 15.6 percent (2010) to 15.2 percent
(2020).
• The waste-related emissions are anticipated to remain
unchanged at 2.8 percent.
• Wastewater treatment GHG emissions are expected to
remain unchanged at 1.5 percent.
• GHG emissions from the water sector are anticipated
to remain unchanged at 0.7 percent.
All GHG emissions have been calculated and presented in
metric tons of carbon dioxide equivalent emissions per year
(MT CO2e/yr).",2010,7579144.0,15.0,2020.0,"Key findings by sector provide guidance for where strategies can perhaps slow future emissions growth.
• GHG emissions from the energy sector are anticipated
to increase slightly from 79.5 percent (2010) to 79.9
percent (2020).
• The transportation-related emissions are anticipated
to decrease from 15.6 percent (2010) to 15.2 percent
(2020).
• The waste-related emissions are anticipated to remain
unchanged at 2.8 percent.
• Wastewater treatment GHG emissions are expected to
remain unchanged at 1.5 percent.
• GHG emissions from the water sector are anticipated
to remain unchanged at 0.7 percent.
All GHG emissions have been calculated and presented in
metric tons of carbon dioxide equivalent emissions per year
(MT CO2e/yr).","(39.2903848, -76.6121893)","(37.09024, -95.712891)"
58636,USA,"Bellingham, WA",False,2016,Total,City limits,2000,862545.1,7.0,2012.0,,"(48.74908, -122.478147)","(37.09024, -95.712891)"
49787,USA,Benicia,False,2016,Total,"Residential Electricity and Natural Gas Use, Commercial/Industrial Electricity and Natural Gas Use, On Road Transportation, Off Road Equipment, Waste, Water Supply, Treatment, and Delivery",2000,487035.0,10.0,2020.0,,"(38.049365, -122.1585777)","(37.09024, -95.712891)"
54104,USA,Boulder,False,2016,Total,"Electricity, natural gas, transportation, landfill",2005,1943165.0,80.0,2050.0,Interim targets under development.,"(40.0274, -105.2519)","(37.09024, -95.712891)"
50555,Canada,Hamilton,False,2016,Total,"Agriculture, waste, transportation, commercial, residential, industrial (not steel), industrial (steel sector)",2006,23351712.0,20.0,2020.0,Targets achieved in 2011.,"(43.250021, -79.866091)","(56.130366, -106.346771)"
50555,Canada,Hamilton,False,2016,Total,"Agriculture, waste, transportation, commercial, residential, industrial (not steel), industrial (steel sector)",2006,23351712.0,50.0,2030.0,Targets set in 2015 to follow Corporate targets and community request under Community Climate Change Action Plan 2015,"(43.250021, -79.866091)","(56.130366, -106.346771)"
2430,USA,Burlington,False,2016,Total,community-wide emissions,2007,401996.0,20.0,2020.0,"Reduction Goals

Subsequent to the completion of the 2007 GHG emissions inventory, the City established the following emissions reduction targets: 

Short-term: 
Reduction of 20% below 2007 levels by 2020 
*Equals 1.5% annual reduction until 2020 

Long-term: 
Reduction of 80% below 2007 levels by 2050 
*Equals 2% annual reduction between 2020 and 2050 

To achieve its 2020 goal, the City would have to reduce the emissions generated by its municipal operations by 4,657 tons of CO2 equivalent, while the community-wide emissions reduction would have to approach 86,485 tons of CO2 equivalent. These are not insignificant numbers, but if the City and community come together in working towards those same goals, we can surely achieve them. Exploration of new technologies, new financial incentives and/or financing schemes, as well as a general willingness and commitment to the implementation of this plan will bring success.","(44.4758825, -73.212072)","(37.09024, -95.712891)"
35475,Canada,Calgary,False,2016,Total,"The target applies to all emissions tracked in the inventory (electricity, natural gas, gasoline, diesel, landfill gas)",2005,15793731.0,20.0,2020.0,,"(51.048615, -114.070846)","(56.130366, -106.346771)"
